"";"n";"t"
"elapsed263";89;168,879999999997
"elapsed264";90;172,450000000001
"elapsed265";90;171,77
"elapsed266";90;175,75
"elapsed267";91;174,57
"elapsed268";91;177,5
"elapsed269";91;177,469999999998
"elapsed270";92;181,200000000001
"elapsed271";92;181,190000000002
"elapsed272";92;182,16
"elapsed273";93;185,240000000002
"elapsed274";93;183,389999999999
"elapsed275";93;186,789999999997
"elapsed276";94;187,700000000001
"elapsed277";94;187,189999999999
"elapsed278";94;187,130000000001
"elapsed279";95;192,549999999999
"elapsed280";95;192,700000000001
"elapsed281";95;192,540000000001
"elapsed282";96;195,07
"elapsed283";96;195,990000000002
"elapsed284";96;200,010000000002
"elapsed285";97;200,950000000001
"elapsed286";97;202,360000000001
"elapsed287";97;200,23
"elapsed288";98;204,639999999999
"elapsed289";98;206,310000000001
"elapsed290";98;204,360000000001
"elapsed291";99;211,309999999998
"elapsed292";99;208,810000000001
"elapsed293";99;210,130000000001
"elapsed294";100;215,389999999999
"elapsed295";100;212,119999999999
"elapsed296";100;217,09
